k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
3,EuclideanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.00023412704467773438,40.490039348602295
3,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0003075599670410156,40.35698986053467
3,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.5391432791728212,0.5653587183654516,2435,1945,2263,1481,0.000408172607421875,40.633413314819336
3,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.000293731689453125,40.30619812011719
3,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00047206878662109375,40.356932163238525
3,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5391432791728212,0.5653587183654516,2435,1945,2263,1481,0.0003066062927246094,40.25645971298218
3,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0004177093505859375,40.02339220046997
3,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0006160736083984375,40.327279567718506
3,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5380354505169868,0.5622302577860726,2410,1961,2247,1506,0.0004601478576660156,40.761372089385986
3,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9794436238306253,0.9785979751377675,3818,4139,69,98,0.0004038810729980469,34.37009382247925
3,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.5168636139832595,0.6657013882974193,3908,291,3917,8,0.00035572052001953125,34.5390887260437
3,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.560438207779419,0.5835568513119533,2502,2051,2157,1414,0.000614166259765625,34.435328006744385
3,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.983259478089611,0.9826086956521739,3842,4146,62,74,0.000461578369140625,34.32659196853638
3,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.5168636139832595,0.6657013882974193,3908,291,3917,8,0.00030803680419921875,34.50336027145386
3,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.560438207779419,0.5835568513119533,2502,2051,2157,1414,0.0002079010009765625,34.510576248168945
3,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.983259478089611,0.9826086956521739,3842,4146,62,74,0.00021219253540039062,34.29218006134033
3,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.5168636139832595,0.6657013882974193,3908,291,3917,8,0.0004477500915527344,34.571452140808105
3,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.000209808349609375,34.443992137908936
5,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0005593299865722656,35.10152626037598
5,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0004658699035644531,35.14604377746582
5,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6578040374199902,0.5997696515980421,2083,3261,947,1833,0.0004782676696777344,35.538665771484375
5,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.00021219253540039062,35.052443981170654
5,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0005636215209960938,35.555044651031494
5,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6578040374199902,0.5997696515980421,2083,3261,947,1833,0.0005736351013183594,35.19140577316284
5,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0003218650817871094,34.8789758682251
5,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0010175704956054688,35.37796401977539
5,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6582964057114722,0.612615126988557,2195,3153,1055,1721,0.00021982192993164062,35.14153432846069
5,EuclideanDistance,MajorityClassVote,EqualWeighting,0.999507631708518,0.9994894051570079,3915,4205,3,1,0.0011000633239746094,40.11881351470947
5,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00046634674072265625,40.13807010650635
5,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.5496061053668144,0.5826394433671723,2554,1911,2297,1362,0.00023365020751953125,40.4862060546875
5,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9997538158542589,0.999744702578504,3916,4206,2,0,0.00042629241943359375,40.087642192840576
5,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00021600723266601562,40.34868574142456
5,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5496061053668144,0.5826394433671723,2554,1911,2297,1362,0.0003504753112792969,40.69579744338989
5,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.00038623809814453125,39.93902587890625
5,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.000946044921875,40.506662368774414
5,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5380354505169868,0.5622302577860726,2410,1961,2247,1506,0.000453948974609375,40.2021164894104
