k,distance_func,voting_func,weighting_func,reduction_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time,storage
1,ManhattanDistance,MajorityClassVote,EqualWeighting,control,1.0,1.0,3916,4208,0,0,0.0015072822570800781,151.64844942092896,7311.6
1,ManhattanDistance,MajorityClassVote,EqualWeighting,GGCN,1.0,1.0,3916,4208,0,0,0.0010721683502197266,72.77775883674622,3519.8
1,ManhattanDistance,MajorityClassVote,EqualWeighting,ENNTH,1.0,1.0,3916,4208,0,0,0.002409219741821289,150.90724086761475,7311.6
1,ManhattanDistance,MajorityClassVote,EqualWeighting,Drop3,1.0,1.0,3916,4208,0,0,0.0018460750579833984,150.79619097709656,7311.6
