k,distance,voting,weighting,accuracy,precision,recall,f1,efficiency,problem-solving time
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7930497198879551,0.4238325522516699,0.5125,0.4617295190287403,0.020925259590148924,0.022524189949035645
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.021395611763000488,0.023244524002075197
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.02098369598388672,0.022539854049682617
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.02119905948638916,0.022833776473999024
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.021563029289245604,0.023406386375427246
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.02102651596069336,0.02259066104888916
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.02123403549194336,0.022859525680541993
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.021471619606018066,0.02330193519592285
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.02101423740386963,0.022599411010742188
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.026508617401123046,0.028114819526672365
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.026489949226379393,0.028305673599243165
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.026256680488586426,0.027837657928466798
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.02630453109741211,0.02789804935455322
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.026497769355773925,0.028329753875732423
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.02602276802062988,0.027602529525756835
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.02615211009979248,0.027743268013000488
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.02643892765045166,0.028264904022216798
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.7997163865546218,0.44938200280112045,0.5166666666666667,0.46888336518258644,0.026164841651916505,0.027735233306884766
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.02095177173614502,0.0225416898727417
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.8081792717086834,0.5084978991596639,0.5586538461538461,0.5206841735696017,0.021283435821533202,0.023096799850463867
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.8081792717086834,0.5084978991596639,0.5586538461538461,0.5206841735696017,0.020723414421081544,0.02227170467376709
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.755549719887955,0.4183998599439776,0.5153846153846153,0.4408757890309941,0.020942115783691408,0.022516489028930664
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8081792717086834,0.5084978991596639,0.5586538461538461,0.5206841735696017,0.0211989164352417,0.023032379150390626
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.8081792717086834,0.5084978991596639,0.5586538461538461,0.5206841735696017,0.020685434341430664,0.02220263481140137
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.02091188430786133,0.02252926826477051
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.8081792717086834,0.5084978991596639,0.5586538461538461,0.5206841735696017,0.021087098121643066,0.022877836227416994
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.8081792717086834,0.5084978991596639,0.5586538461538461,0.5206841735696017,0.02070341110229492,0.022241806983947753
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.021217083930969237,0.02281346321105957
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.02141306400299072,0.023221778869628906
3,ManhattanDistance,MajorityClassVote,EqualWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.021040177345275878,0.022570109367370604
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.0211820125579834,0.022784614562988283
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7930497198879551,0.39652485994397757,0.5,0.4421739634731847,0.021445560455322265,0.023233914375305177
