k,distance_func,voting_func,weighting_func,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9
1,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00040793418884277344,0.0003578662872314453,0.00034618377685546875,0.0002739429473876953,0.00011086463928222656,0.0002372264862060547,0.00010991096496582031,0.00017404556274414062,0.00025773048400878906,0.0002319812774658203,15.327392101287842,15.367939233779907,15.224082946777344,15.26139211654663,15.190666913986206,15.159235715866089,15.169626235961914,15.114384889602661,15.219085216522217,15.219443082809448
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.6500829187396352,0.6500415627597672,0.6500415627597672,0.6511627906976745,0.6505823627287853,0.6512013256006628,0.6505823627287853,0.6489626556016598,0.6511627906976745,0.6511627906976745,0.00017213821411132812,0.00010085105895996094,0.000164031982421875,9.703636169433594e-05,0.00022292137145996094,0.0003063678741455078,0.0002951622009277344,0.00037026405334472656,0.0002460479736328125,0.00023508071899414062,15.347539901733398,15.410687923431396,15.397258996963501,15.483867168426514,15.47989797592163,15.435437679290771,15.340610027313232,15.519800901412964,15.410096168518066,15.340669870376587
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6230440967283073,0.6228070175438597,0.6038291605301914,0.5883977900552486,0.5933147632311978,0.6591230551626591,0.6125874125874126,0.6227709190672154,0.6293706293706294,0.5772151898734177,0.00014734268188476562,0.0003230571746826172,0.0002818107604980469,0.00032401084899902344,0.0002589225769042969,9.489059448242188e-05,0.00019216537475585938,0.0002930164337158203,0.0003211498260498047,0.00026702880859375,15.301658868789673,15.210729837417603,15.206504821777344,15.195939064025879,15.153869867324829,15.270713090896606,15.446839809417725,15.679504871368408,15.480189800262451,15.930084228515625
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00016999244689941406,0.0002720355987548828,0.0003581047058105469,0.00023889541625976562,0.0005009174346923828,0.0003247261047363281,9.918212890625e-05,9.989738464355469e-05,0.0002486705780029297,0.0003261566162109375,15.726573944091797,15.460469961166382,15.42305302619934,15.583268165588379,15.772330045700073,15.864546060562134,15.485650777816772,15.569761037826538,15.538353204727173,15.023129224777222
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.6500829187396352,0.6500415627597672,0.6500415627597672,0.6511627906976745,0.6505823627287853,0.6512013256006628,0.6505823627287853,0.6489626556016598,0.6511627906976745,0.6511627906976745,0.00013899803161621094,0.00010013580322265625,0.00016808509826660156,9.703636169433594e-05,0.0002219676971435547,0.0002758502960205078,0.0003178119659423828,0.00024700164794921875,0.0003540515899658203,0.00024390220642089844,15.305677652359009,15.178483009338379,15.25684380531311,15.17075800895691,15.438771963119507,15.261635065078735,15.3687002658844,15.688236951828003,15.408885955810547,15.144215822219849
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6230440967283073,0.6228070175438597,0.6038291605301914,0.5883977900552486,0.5933147632311978,0.6591230551626591,0.6125874125874126,0.6227709190672154,0.6293706293706294,0.5772151898734177,0.0001347064971923828,0.0002551078796386719,0.000102996826171875,0.00010204315185546875,0.00023889541625976562,0.0003261566162109375,0.0002570152282714844,0.0002551078796386719,9.608268737792969e-05,0.00016379356384277344,15.013667106628418,15.2913179397583,15.143178939819336,15.008196115493774,14.913851976394653,14.995421886444092,14.976364850997925,15.089932918548584,15.076026201248169,15.082779169082642
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001468658447265625,0.0002601146697998047,0.0002467632293701172,0.00031876564025878906,0.00026607513427734375,0.0003731250762939453,0.0003440380096435547,0.00010085105895996094,0.0001010894775390625,0.0002989768981933594,15.032603979110718,14.899618864059448,14.961633920669556,14.965358257293701,15.001787900924683,14.998749732971191,15.012571811676025,14.987143993377686,14.985256910324097,15.034257173538208
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.6500829187396352,0.6500415627597672,0.6500415627597672,0.6511627906976745,0.6505823627287853,0.6512013256006628,0.6505823627287853,0.6489626556016598,0.6511627906976745,0.6511627906976745,0.00017189979553222656,0.00017595291137695312,0.00024700164794921875,0.00010013580322265625,9.799003601074219e-05,0.0003001689910888672,9.393692016601562e-05,0.00017905235290527344,0.0003581047058105469,0.00030493736267089844,15.301530122756958,15.300713777542114,15.292290925979614,15.105074882507324,15.136781930923462,15.21967363357544,15.189387083053589,15.266385793685913,15.277222871780396,15.239479064941406
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6230440967283073,0.6228070175438597,0.6038291605301914,0.5883977900552486,0.5933147632311978,0.6591230551626591,0.6125874125874126,0.6227709190672154,0.6293706293706294,0.5772151898734177,0.00015783309936523438,0.0003230571746826172,0.0002551078796386719,9.894371032714844e-05,0.00017213821411132812,9.799003601074219e-05,0.00030684471130371094,0.0002319812774658203,0.00026416778564453125,0.0002422332763671875,15.157462120056152,15.204699039459229,15.204906702041626,15.179264068603516,15.24238896369934,15.259790182113647,15.126638174057007,15.298222064971924,15.21474575996399,15.284562826156616
1,EuclideanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001552104949951172,0.00035190582275390625,0.00024127960205078125,0.00010180473327636719,0.0001709461212158203,0.0002627372741699219,0.0003478527069091797,0.0002529621124267578,0.00027179718017578125,9.584426879882812e-05,18.028555631637573,17.936250925064087,18.027358770370483,17.72413992881775,17.737720727920532,18.01195192337036,17.890104055404663,17.856940031051636,17.754260063171387,17.94460129737854
