dataset,reduction_method,clustering_model,reduction_runtime,clustering_runtime,dbi,chi,ari,f_measure,n_clusters,n_components,max_iterations,tolerance,random_state,metric,algorithm,min_samples,xi,min_cluster_size,kernel,gamma
mushroom,kernel_pca,optics,,3.000385999679565,2.740495205246101,66.38531044398191,0.011269307386014605,1.3750240629211012e-05,276.0,4,,,,euclidean,ball_tree,10,0.1,5,rbf,1
mushroom,non_reduced,global_kmeans,,8.052595138549805,1.4914231713777668,207.4272465529527,-0.0010570048389222458,0.3741562826100301,2,,100,0.001,4,,,,,,,
mushroom,non_reduced,optics,,16.662426233291626,1.4643464322976358,569.319860494155,0.27007727032314066,0.013303686740250576,19.0,,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,pca,global_kmeans,0.0178470611572265,14.805718898773192,1.6517429250733366,2723.1161936257035,0.6244278220684992,0.8932671163101569,2,10,100,0.001,4,,,,,,,
mushroom,pca,global_kmeans,0.034236192703247,11.026963949203491,1.2860672770143304,1009.4099499898973,0.022576212227377702,0.5017503463038482,2,11,100,0.001,4,,,,,,,
mushroom,pca,global_kmeans,0.0172514915466308,10.3975830078125,1.152094492698814,2021.5024543064135,0.12544169595635088,0.629954517094268,2,12,100,0.001,4,,,,,,,
mushroom,pca,global_kmeans,0.018094778060913,13.667103052139282,0.424497534914893,6393.931282060871,0.12561700529479633,0.6301331992941213,2,2,100,0.001,4,,,,,,,
mushroom,pca,global_kmeans,0.0228149890899658,7.399569749832153,0.4570239145429574,6748.270231162517,0.12544169595635088,0.629954517094268,2,3,100,0.001,4,,,,,,,
mushroom,pca,global_kmeans,0.0186631679534912,32.034481048583984,1.1769403415808557,5353.494510075383,0.6232610174779577,0.8929019036839958,2,4,100,0.001,4,,,,,,,
mushroom,pca,optics,0.0178470611572265,3.9529240131378174,1.2299378647827077,72.76272734087044,0.009406954596978408,1.5344106942287746e-05,332.0,10,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,pca,optics,0.034236192703247,3.5221266746521,1.0177814023124676,76.36107022252898,0.02558837845431254,0.0,219.0,11,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,pca,optics,0.0172514915466308,3.5570852756500244,1.059707452702727,107.03248147998556,0.04285252522230471,2.5880999165835487e-05,238.0,12,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,pca,optics,0.018094778060913,2.81241226196289,27.795916341813584,34.98930927857996,0.0011071483354294154,4.794767121815263e-05,215.0,2,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,pca,optics,0.0228149890899658,2.971792936325073,1.8125646494734033,53.10909609721285,0.00813231977881648,4.76847993299249e-05,228.0,3,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,pca,optics,0.0186631679534912,3.1420068740844727,1.8164772928803428,48.393150374431386,0.006620122083073808,1.9432720036688977e-05,244.0,4,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,sklearn_pca,global_kmeans,0.0066654682159423,14.7362539768219,1.651742925073336,2723.1161936257063,0.6244278220684992,0.8932671163101569,2,10,100,0.001,4,,,,,,,
mushroom,sklearn_pca,global_kmeans,0.0058786869049072,9.219786882400513,1.286067277014332,1009.4099499898969,0.022576212227377702,0.5017503463038482,2,11,100,0.001,4,,,,,,,
mushroom,sklearn_pca,global_kmeans,0.0060532093048095,9.574550151824951,1.1520944926988137,2021.5024543064144,0.12544169595635088,0.629954517094268,2,12,100,0.001,4,,,,,,,
mushroom,sklearn_pca,global_kmeans,0.0068960189819335,10.24964714050293,0.42449753491489306,6393.931282060872,0.12561700529479633,0.6301331992941213,2,2,100,0.001,4,,,,,,,
mushroom,sklearn_pca,global_kmeans,0.0083005428314208,6.783437013626099,0.4570239145429569,6748.270231162521,0.12544169595635088,0.629954517094268,2,3,100,0.001,4,,,,,,,
mushroom,sklearn_pca,global_kmeans,0.0072722434997558,31.92482304573059,1.1769403415808546,5353.494510075391,0.6232610174779577,0.8929019036839958,2,4,100,0.001,4,,,,,,,
mushroom,sklearn_pca,optics,0.0066654682159423,3.4320530891418457,1.2340052298938837,72.01631429543392,0.00927955928115451,1.543710152981676e-05,330.0,10,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,sklearn_pca,optics,0.0058786869049072,3.564542770385742,1.0040970357640275,79.83477296651539,0.028795658796074278,0.0,221.0,11,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,sklearn_pca,optics,0.0060532093048095,3.5464370250701904,1.0627754879138414,102.05107294881171,0.04112693633326582,2.017695186788132e-05,235.0,12,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,sklearn_pca,optics,0.0068960189819335,2.840700149536133,24.72277426842448,35.161599843158605,0.0011072004521906252,4.1154212585656346e-05,216.0,2,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,sklearn_pca,optics,0.0083005428314208,2.8834969997406006,1.8136405844731682,52.996260522218094,0.008896890380675045,4.810678870452601e-05,226.0,3,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,sklearn_pca,optics,0.0072722434997558,3.2646310329437256,1.8330073530454996,47.833012322889445,0.0068159952656768035,1.9432720036688977e-05,244.0,4,,,,euclidean,ball_tree,10,0.1,5,,
vowel,incremental_pca,global_kmeans,0.002873420715332,7.946202754974365,0.7989282988297898,482.9866315787402,-0.00862948144661489,0.08566433566433566,11,10,100,0.0001,4,,,,,,,
vowel,incremental_pca,global_kmeans,0.0029835700988769,7.481618642807007,0.8220070991080192,457.2072815896025,-0.006398394096332917,0.0922528562666056,11,11,100,0.0001,4,,,,,,,
vowel,incremental_pca,global_kmeans,0.0029201507568359,7.208364963531494,0.8212870776484021,409.68495025819243,-0.006243968238142331,0.09226224226224228,11,12,100,0.0001,4,,,,,,,
vowel,incremental_pca,global_kmeans,0.003380537033081,17.195656299591064,4.905474090246285,41654.18323900613,0.019378312819081017,0.16103644722788008,11,2,100,0.0001,4,,,,,,,
vowel,incremental_pca,global_kmeans,0.0028448104858398,17.445220708847046,2.1773514571574264,17212.999685783703,0.007142738898137469,0.13671030521637276,11,3,100,0.0001,4,,,,,,,
vowel,incremental_pca,global_kmeans,0.0028440952301025,13.806024074554443,0.9907372481477598,2471.9803260645176,-0.004829320871247691,0.09766665448149107,11,4,100,0.0001,4,,,,,,,
vowel,incremental_pca,optics,0.002873420715332,0.3696279525756836,0.9639837828042668,672.3025037405869,-0.005524822096762678,0.05458205458205458,15.0,10,,,,manhattan,ball_tree,20,0.1,10,,
vowel,incremental_pca,optics,0.0029835700988769,0.3659186363220215,0.9963754337365782,434.49991727220913,-0.0009671879946473187,0.05892286061988048,15.0,11,,,,manhattan,ball_tree,20,0.1,10,,
vowel,incremental_pca,optics,0.0029201507568359,0.3628609180450439,1.0177711380524712,512.8531069096463,-0.004200920006682997,0.05795840416324935,16.0,12,,,,manhattan,ball_tree,20,0.1,10,,
vowel,incremental_pca,optics,0.003380537033081,0.3593673706054687,0.7198810513034176,7039.402286772377,-0.0027212282573277624,0.036085410489145396,5.0,2,,,,manhattan,ball_tree,20,0.1,10,,
vowel,incremental_pca,optics,0.0028448104858398,0.3609323501586914,1.2564757134101485,1157.6368714142184,-0.0033340332646424,0.03917103278558387,6.0,3,,,,manhattan,ball_tree,20,0.1,10,,
vowel,incremental_pca,optics,0.0028440952301025,0.3580443859100342,1.23334744261912,400.31143556105917,-0.004997293526999464,0.04953511910366256,8.0,4,,,,manhattan,ball_tree,20,0.1,10,,
vowel,kernel_pca,global_kmeans,0.1535868644714355,5.331847906112671,0.6495396341876957,863.610738396478,-0.00862948144661489,0.08566433566433566,11,10,100,0.0001,4,,,,,,poly,0.1
vowel,kernel_pca,global_kmeans,0.1669206619262695,4.925215005874634,0.5926054691262267,1703.9078132384545,-0.009069266523069946,0.08696371196371194,11,10,100,0.0001,4,,,,,,poly,1
vowel,kernel_pca,global_kmeans,0.2016341686248779,6.882885932922363,0.7324156880211866,489.8295527941669,-0.006340481888386538,0.09225637485141619,11,10,100,0.0001,4,,,,,,rbf,0.1
vowel,kernel_pca,global_kmeans,0.160541296005249,4.799052000045776,0.3716257646015981,2564.5794156973197,-0.008222614707572776,0.08509172915952576,11,10,100,0.0001,4,,,,,,rbf,1
vowel,kernel_pca,global_kmeans,0.1656370162963867,9.348067045211792,0.6671352333458334,713.3223289257987,-0.00147230038996105,0.10487195341986055,11,11,100,0.0001,4,,,,,,poly,0.1
vowel,kernel_pca,global_kmeans,0.1585345268249511,4.656415939331055,0.545173782790922,1212.7090067764382,-0.009069266523069946,0.08696371196371194,11,11,100,0.0001,4,,,,,,poly,1
vowel,kernel_pca,global_kmeans,0.1612560749053955,6.668928146362305,0.716292881752122,485.8425500973735,-0.006377030379763393,0.0923471653136725,11,11,100,0.0001,4,,,,,,rbf,0.1
vowel,kernel_pca,global_kmeans,0.1644868850708007,4.011404991149902,0.6653427261592951,689.7074680020037,-0.007166295779428959,0.0829170829170829,11,11,100,0.0001,4,,,,,,rbf,1
vowel,kernel_pca,global_kmeans,0.1666536331176757,6.24876594543457,0.6863899145410159,612.5066007384398,-0.00862948144661489,0.08566433566433566,11,12,100,0.0001,4,,,,,,poly,0.1
vowel,kernel_pca,global_kmeans,0.1671559810638427,4.0784173011779785,0.6028423570796998,737.9260565712945,-0.008222614707572776,0.08509172915952576,11,12,100,0.0001,4,,,,,,poly,1
vowel,kernel_pca,global_kmeans,0.1736876964569091,6.011399984359741,0.6947801504039268,475.1173252144858,-0.00862948144661489,0.08566433566433566,11,12,100,0.0001,4,,,,,,rbf,0.1
vowel,kernel_pca,global_kmeans,0.1561484336853027,4.2024219036102295,0.5215285355801226,650.9144381023723,-0.007166295779428959,0.0829170829170829,11,12,100,0.0001,4,,,,,,rbf,1
vowel,kernel_pca,global_kmeans,0.03094482421875,19.94795274734497,0.5588480644842029,32887.766900655195,0.013211064902052946,0.1657409478489462,11,2,100,0.0001,4,,,,,,poly,0.1
vowel,kernel_pca,global_kmeans,0.0868477821350097,17.5419499874115,0.5803257403747061,28388.260645600632,0.020416187184202413,0.1606023325851953,11,2,100,0.0001,4,,,,,,poly,1
vowel,kernel_pca,global_kmeans,0.0690891742706298,10.44198489189148,0.5536311477389888,58388.71689973907,0.020576623057551747,0.1656663565242511,11,2,100,0.0001,4,,,,,,rbf,0.1
vowel,kernel_pca,global_kmeans,0.1110091209411621,12.95639705657959,1.3538374359286613,13839.20607055724,0.04057963595105489,0.16435514020128414,11,2,100,0.0001,4,,,,,,rbf,1
vowel,kernel_pca,global_kmeans,0.1031720638275146,15.689711809158323,3.6113087597991878,15101.973095049785,0.01439291542783207,0.15048277563241835,11,3,100,0.0001,4,,,,,,poly,0.1
vowel,kernel_pca,global_kmeans,0.1128642559051513,12.349591732025146,1.1329060583947377,15979.435169386154,0.00440142824893733,0.1250297837846162,11,3,100,0.0001,4,,,,,,poly,1
vowel,kernel_pca,global_kmeans,0.1246142387390136,13.85504913330078,1.8006168718709696,24323.520944960357,0.021880951055621673,0.14776156280189712,11,3,100,0.0001,4,,,,,,rbf,0.1
vowel,kernel_pca,global_kmeans,0.1037807464599609,13.173734188079834,0.6665770175706406,10282.935513634666,0.033280304683684155,0.16780204115529399,11,3,100,0.0001,4,,,,,,rbf,1
vowel,kernel_pca,global_kmeans,0.1222178936004638,12.651031970977783,1.0005382240737517,2342.485550481208,0.007240865339644844,0.1193274509939079,11,4,100,0.0001,4,,,,,,poly,0.1
vowel,kernel_pca,global_kmeans,0.1172096729278564,8.801520824432373,1.076647908973631,7380.695786089129,0.00676392080931864,0.11601551085443639,11,4,100,0.0001,4,,,,,,poly,1
vowel,kernel_pca,global_kmeans,0.1042919158935546,14.10780382156372,1.468445988691566,4325.115730636423,0.016986417213892505,0.13805270279968906,11,4,100,0.0001,4,,,,,,rbf,0.1
vowel,kernel_pca,global_kmeans,0.1163587570190429,15.428417921066284,1.3638628113411513,7799.127043759579,0.024294770380619595,0.13573613045208047,11,4,100,0.0001,4,,,,,,rbf,1
vowel,kernel_pca,optics,0.1535868644714355,0.2346062660217285,0.8121667194735337,559.5460672764656,-1.3869858172401982e-05,0.05070520031149953,14.0,10,,,,manhattan,ball_tree,20,0.1,10,poly,0.1
vowel,kernel_pca,optics,0.1669206619262695,0.2355360984802246,0.848446872304843,419.8056288943582,-0.00018942199220409092,0.05065247252747253,14.0,10,,,,manhattan,ball_tree,20,0.1,10,poly,1
vowel,kernel_pca,optics,0.2016341686248779,0.2314169406890869,0.8144379499266663,1314.3837662360843,-0.009656028762923445,0.04807692307692308,16.0,10,,,,manhattan,ball_tree,20,0.1,10,rbf,0.1
vowel,kernel_pca,optics,0.160541296005249,0.2326300144195556,1.0521589877756061,211.96469155766957,0.006774731077137293,0.059327080676361395,16.0,10,,,,manhattan,ball_tree,20,0.1,10,rbf,1
vowel,kernel_pca,optics,0.1656370162963867,0.2341556549072265,1.139131182478911,214.45826271098085,0.015609080779835334,0.04878924114986833,14.0,11,,,,manhattan,ball_tree,20,0.1,10,poly,0.1
vowel,kernel_pca,optics,0.1585345268249511,0.2357819080352783,1.0808604264817598,428.2737323579141,-0.001372505773207764,0.06060662310662309,14.0,11,,,,manhattan,ball_tree,20,0.1,10,poly,1
vowel,kernel_pca,optics,0.1612560749053955,0.2311213016510009,0.7836199686017032,1391.4244940304247,-0.009656028762923445,0.04807692307692308,16.0,11,,,,manhattan,ball_tree,20,0.1,10,rbf,0.1
vowel,kernel_pca,optics,0.1644868850708007,0.2329611778259277,0.9594572323963915,249.4405601402614,0.017287420147091826,0.044966671139872814,17.0,11,,,,manhattan,ball_tree,20,0.1,10,rbf,1
vowel,kernel_pca,optics,0.1666536331176757,0.2355039119720459,1.1270422309011932,254.89098614253615,0.008252455078209748,0.04748953427524856,14.0,12,,,,manhattan,ball_tree,20,0.1,10,poly,0.1
vowel,kernel_pca,optics,0.1671559810638427,0.2344281673431396,1.17867437062613,286.5796357213302,0.009409021949048689,0.04775040533237255,14.0,12,,,,manhattan,ball_tree,20,0.1,10,poly,1
vowel,kernel_pca,optics,0.1736876964569091,0.2314841747283935,0.7529776818718164,1467.167169985448,-0.009656028762923445,0.054275270184361096,16.0,12,,,,manhattan,ball_tree,20,0.1,10,rbf,0.1
vowel,kernel_pca,optics,0.1561484336853027,0.2331891059875488,0.9513715121539771,207.62900706490515,0.016032739354090445,0.03688476758105447,17.0,12,,,,manhattan,ball_tree,20,0.1,10,rbf,1
vowel,kernel_pca,optics,0.03094482421875,0.2251632213592529,1.0295135254833263,528.95539691676,-0.0023599980407563435,0.029983273093074123,5.0,2,,,,manhattan,ball_tree,20,0.1,10,poly,0.1
vowel,kernel_pca,optics,0.0868477821350097,0.2250652313232422,0.45450928264456547,7732.73348162768,-0.004006873759385104,0.0368222816929329,5.0,2,,,,manhattan,ball_tree,20,0.1,10,poly,1
vowel,kernel_pca,optics,0.0690891742706298,0.2280187606811523,1.4786832195969812,330.1605049742925,-0.0012390987934941327,0.024589664913306063,5.0,2,,,,manhattan,ball_tree,20,0.1,10,rbf,0.1
vowel,kernel_pca,optics,0.1110091209411621,0.2282981872558593,0.9857276118189802,469.73593908661263,0.005243174591021545,0.049854737966731504,8.0,2,,,,manhattan,ball_tree,20,0.1,10,rbf,1
vowel,kernel_pca,optics,0.1031720638275146,0.2302119731903076,1.087565963875224,241.38358895072145,-0.0006973615016996501,0.03156302291954546,6.0,3,,,,manhattan,ball_tree,20,0.1,10,poly,0.1
vowel,kernel_pca,optics,0.1128642559051513,0.2285230159759521,1.5595221924756006,1402.9037703707068,-0.0013523829617689512,0.04482767480648837,7.0,3,,,,manhattan,ball_tree,20,0.1,10,poly,1
vowel,kernel_pca,optics,0.1246142387390136,0.2295370101928711,1.5041761764756556,286.3654281485459,-0.0028476577407625073,0.02816771459814106,6.0,3,,,,manhattan,ball_tree,20,0.1,10,rbf,0.1
