dataset,model,runtime,dbi,chi,ari,f_measure,n_clusters,fuzzyness,max_iterations,tolerance,random_state,strictness,min_obs,max_depth,metric,algorithm,min_samples,xi,min_cluster_size,n_neighbors,affinity,eigen_solver,assign_labels
hepatitis,fuzzy_cmeans,0.0026707649230957,2.0298713202041876,15.051608522392645,0.0478102245540967,0.08392461197339246,10,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0115468502044677,2.081025950601288,15.986758854402868,0.04503994514368502,0.08466666666666667,10,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0066759586334228,1.8797221424272048,16.207137920496926,0.08768847928921139,0.10002667377967459,10,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0067172050476074,2.1893909614277,15.32092806867356,0.0342074305235852,0.07696551724137932,10,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0091829299926757,1.9294965367676156,15.940516120374609,0.03897988250507303,0.07982456140350877,10,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0112481117248535,1.9306109329279788,16.5294951817459,0.05946786064684258,0.08260233918128654,10,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0209040641784667,2.2533275145245155,16.69197863703625,0.03425622309759514,0.07597202797202798,10,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0347168445587158,1.8577851253597313,15.193166778565207,0.04031458766880897,0.0890860927152318,10,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0030429363250732,2.117555621369799,14.355809402553318,0.0683524610823888,0.07142857142857142,11,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0080888271331787,2.0745512365955876,16.360991651807076,0.03924362075180269,0.06657483930211203,11,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0065717697143554,2.004985352868175,15.517918028990163,0.07260324987862332,0.09234800163219724,11,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0081450939178466,2.3012246808138594,15.745455667905947,0.039145311898424795,0.06131337949519768,11,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0130770206451416,2.1285449317494938,15.922148569016812,0.04122321702819339,0.06179275270184361,11,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0092780590057373,2.1763104207930835,16.142056035942517,0.036913471391463906,0.06100223886785152,11,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0138149261474609,1.833770597798125,16.469940638195396,0.041729789763882606,0.0772421867046727,11,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0172059535980224,2.3930549018769365,15.295754434023642,0.03541892787210479,0.07088366179275271,11,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.003735065460205,2.1150823565347117,13.90318909803715,0.04356420783833958,0.07232260493130059,12,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0112671852111816,2.053066686654836,14.877717288382414,0.02345076187369688,0.06331002331002332,12,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0066938400268554,1.7460020928130262,16.109780415506975,0.05867617123241367,0.07058720112517582,12,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0106711387634277,2.342524694471295,13.497991430457228,0.016122633637733388,0.05586915617310754,12,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0183820724487304,2.2378493400405106,14.673537697370753,0.03218591532159361,0.061387568726120584,12,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0134410858154296,1.9669222069604706,15.509876308345081,0.03840047417516646,0.07512276433752309,12,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0136189460754394,2.1832933765196967,14.14072164691856,0.03164616385719501,0.05456002331002332,12,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0095250606536865,2.3285857792025912,13.853348190766303,0.033329835574439255,0.05505605505605506,12,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0034351348876953,1.9149016224538489,39.67116082923274,0.170341259364903,0.6728577458843394,2,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0019290447235107,1.899232610508129,39.93143516119472,0.14063721658367048,0.655937846836848,2,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0043592453002929,1.9187266962741254,39.39289709637934,0.16018937629510724,0.6671956684092606,2,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0030567646026611,1.899232610508129,39.93143516119472,0.14063721658367048,0.655937846836848,2,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0029711723327636,2.0141044586771883,36.00587922610063,0.16891865714996884,0.6695722203799328,2,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0032691955566406,1.8931675017997636,40.008663935744956,0.1312294896331202,0.6503383822107638,2,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0021839141845703,2.0141044586771883,36.00587922610063,0.16891865714996884,0.6695722203799328,2,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0018937587738037,1.8931675017997636,40.008663935744956,0.1312294896331202,0.6503383822107638,2,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0028979778289794,2.3120928001712464,28.12586116106149,0.10329772417148705,0.3896103896103896,3,1.5,,,,,,,,,,,,,,,
