C,kernel_type,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
1,linear,0.9241071428571429,0.9302325581395349,0.9341825902335457,0.9277899343544858,0.9467213114754098,0.91701244813278,0.9578713968957872,0.9473684210526315,0.9294605809128631,0.9414225941422594
1,poly,0.9213973799126638,0.9330254041570438,0.940677966101695,0.9521739130434783,0.945010183299389,0.9214876033057852,0.9713024282560706,0.9611451942740287,0.9385245901639344,0.9480249480249481
1,rbf,0.9213483146067416,0.9295774647887324,0.9333333333333333,0.9492273730684326,0.939203354297694,0.9234042553191489,0.9596412556053812,0.9381663113006397,0.9311064718162839,0.9426751592356688
1,sigmoid,0.5708418891170431,0.5322245322245323,0.5518590998043053,0.48434237995824636,0.6245487364620939,0.5735567970204841,0.5151515151515151,0.5486381322957199,0.5708661417322834,0.557504873294347
3,linear,0.9206349206349206,0.9277389277389277,0.9361702127659575,0.9295154185022027,0.9421487603305785,0.9147609147609148,0.9555555555555556,0.949290060851927,0.9294605809128631,0.939203354297694
3,poly,0.9484978540772532,0.9590909090909091,0.9519832985386222,0.9591397849462365,0.968,0.9504132231404959,0.9868421052631579,0.9835390946502057,0.9656565656565657,0.9585062240663901
3,rbf,0.9333333333333333,0.9419953596287703,0.9446808510638298,0.9563318777292577,0.9525773195876288,0.9313929313929314,0.9713024282560706,0.9688149688149689,0.9423868312757202,0.9583333333333334
3,sigmoid,0.5239085239085239,0.4968684759916493,0.5236220472440944,0.44820295983086683,0.5698324022346368,0.5444234404536862,0.44685466377440347,0.5079365079365079,0.5383104125736738,0.5019762845849802
5,linear,0.9206349206349206,0.9351851851851852,0.9361702127659575,0.9342105263157895,0.9421487603305785,0.9192546583850931,0.9601769911504425,0.9669421487603306,0.9316770186335404,0.9436325678496869
5,poly,0.9572649572649573,0.9661399548532731,0.9583333333333334,0.9720430107526882,0.9760956175298805,0.9545454545454546,0.9912663755458515,0.9877049180327869,0.96579476861167,0.9585062240663901
5,rbf,0.9380530973451328,0.9565217391304348,0.9491525423728814,0.9650655021834061,0.9609856262833676,0.9519832985386222,0.9846827133479212,0.9772256728778468,0.9529652351738241,0.9646569646569647
5,sigmoid,0.5166666666666667,0.4720496894409938,0.503968253968254,0.4430379746835443,0.547486033519553,0.5267175572519084,0.4357298474945534,0.5098814229249012,0.525691699604743,0.5019762845849802
7,linear,0.9223744292237442,0.9373549883990719,0.9404255319148936,0.9409190371991247,0.9433962264150944,0.9230769230769231,0.9623059866962306,0.9690721649484536,0.9316770186335404,0.9519832985386222
7,poly,0.9637526652452025,0.9661399548532731,0.9585062240663901,0.9742489270386266,0.9840637450199203,0.9613034623217923,0.9978308026030369,0.9896907216494846,0.9740518962075848,0.9608247422680413
7,rbf,0.945054945054945,0.9636363636363636,0.9556025369978859,0.9650655021834061,0.967479674796748,0.9539748953974896,0.9846827133479212,0.9771309771309772,0.9656565656565657,0.966804979253112
7,sigmoid,0.5126050420168067,0.4718162839248434,0.49800796812749004,0.445859872611465,0.5478424015009381,0.5192307692307693,0.4366812227074236,0.7045454545454546,0.5238095238095238,0.49800796812749004
