k,distance_func,voting_func,weighting_func,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.00023984909057617188,0.00010704994201660156,9.226799011230469e-05,8.487701416015625e-05,8.58306884765625e-05,8.606910705566406e-05,9.107589721679688e-05,8.273124694824219e-05,8.296966552734375e-05,8.392333984375e-05,0.007789134979248047,0.007771730422973633,0.007241964340209961,0.006322145462036133,0.007234811782836914,0.007262229919433594,0.006932973861694336,0.006819248199462891,0.0063288211822509766,0.006906986236572266
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.821487426757812e-05,8.797645568847656e-05,8.58306884765625e-05,8.392333984375e-05,8.392333984375e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.225440979003906e-05,8.296966552734375e-05,0.007653713226318359,0.007725238800048828,0.007174968719482422,0.0062808990478515625,0.007222890853881836,0.007219791412353516,0.006833076477050781,0.006752967834472656,0.006234884262084961,0.006826877593994141
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.7407407407407407,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.392333984375e-05,8.606910705566406e-05,8.416175842285156e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.20159912109375e-05,8.20159912109375e-05,8.225440979003906e-05,8.296966552734375e-05,0.0075991153717041016,0.007745981216430664,0.0072939395904541016,0.006360769271850586,0.007172107696533203,0.007266998291015625,0.006850004196166992,0.006761789321899414,0.006447792053222656,0.006847858428955078
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.487701416015625e-05,8.702278137207031e-05,0.0001201629638671875,8.893013000488281e-05,8.606910705566406e-05,9.274482727050781e-05,0.0001087188720703125,9.107589721679688e-05,8.916854858398438e-05,8.511543273925781e-05,0.0076329708099365234,0.007740020751953125,0.007263898849487305,0.006309986114501953,0.0072078704833984375,0.007346153259277344,0.006901979446411133,0.006703853607177734,0.006217002868652344,0.006818056106567383
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.702278137207031e-05,8.606910705566406e-05,8.392333984375e-05,8.416175842285156e-05,8.273124694824219e-05,8.296966552734375e-05,8.225440979003906e-05,8.487701416015625e-05,8.20159912109375e-05,8.511543273925781e-05,0.007539033889770508,0.007678985595703125,0.007165193557739258,0.006193876266479492,0.0071332454681396484,0.007160186767578125,0.006742715835571289,0.006670951843261719,0.006258964538574219,0.006872892379760742
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7407407407407407,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,9.799003601074219e-05,8.869171142578125e-05,8.702278137207031e-05,8.392333984375e-05,8.916854858398438e-05,8.416175842285156e-05,8.487701416015625e-05,8.511543273925781e-05,8.296966552734375e-05,8.296966552734375e-05,0.0076100826263427734,0.007776021957397461,0.0072100162506103516,0.006348133087158203,0.0071489810943603516,0.007247209548950195,0.0068280696868896484,0.0067598819732666016,0.0062351226806640625,0.006814002990722656
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.606910705566406e-05,8.606910705566406e-05,8.678436279296875e-05,8.392333984375e-05,8.392333984375e-05,8.320808410644531e-05,8.392333984375e-05,9.322166442871094e-05,8.392333984375e-05,8.702278137207031e-05,0.007634878158569336,0.007716178894042969,0.007200956344604492,0.006304025650024414,0.007187843322753906,0.007241010665893555,0.006874799728393555,0.006723880767822266,0.006330966949462891,0.006880760192871094
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.487701416015625e-05,8.606910705566406e-05,8.487701416015625e-05,8.296966552734375e-05,8.296966552734375e-05,8.392333984375e-05,8.296966552734375e-05,8.392333984375e-05,8.392333984375e-05,8.20159912109375e-05,0.007665872573852539,0.007668972015380859,0.007205963134765625,0.0062410831451416016,0.007213115692138672,0.007173061370849609,0.006762981414794922,0.00670313835144043,0.006293058395385742,0.0067789554595947266
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7407407407407407,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.487701416015625e-05,8.702278137207031e-05,8.511543273925781e-05,8.702278137207031e-05,8.296966552734375e-05,8.392333984375e-05,8.392333984375e-05,8.606910705566406e-05,0.00010132789611816406,8.893013000488281e-05,0.007609128952026367,0.007771968841552734,0.007314920425415039,0.006306171417236328,0.007233142852783203,0.007224082946777344,0.0068759918212890625,0.006847858428955078,0.006283998489379883,0.006901979446411133
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.606910705566406e-05,8.702278137207031e-05,8.487701416015625e-05,8.416175842285156e-05,8.392333984375e-05,8.296966552734375e-05,8.416175842285156e-05,8.296966552734375e-05,8.320808410644531e-05,8.296966552734375e-05,0.01005101203918457,0.010222911834716797,0.009565114974975586,0.008297920227050781,0.00941610336303711,0.009483098983764648,0.008987903594970703,0.008906126022338867,0.008176803588867188,0.008953094482421875
