C,kernel_type,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9
0.05,linear,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.9285714285714286,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,0.0009348392486572266,0.0007817745208740234,0.0007560253143310547,0.0009629726409912109,0.0008261203765869141,0.0009481906890869141,0.0007789134979248047,0.0007760524749755859,0.0007512569427490234,0.0009450912475585938,0.0003650188446044922,0.00035309791564941406,0.0003719329833984375,0.0004181861877441406,0.0003859996795654297,0.0003845691680908203,0.00035190582275390625,0.0003509521484375,0.0003437995910644531,0.00040984153747558594
0.05,poly,0.7857142857142857,0.9655172413793104,0.9629629629629629,0.88,1.0,0.9285714285714286,0.9565217391304348,0.9230769230769231,0.9090909090909091,1.0,0.00078582763671875,0.0007700920104980469,0.0007688999176025391,0.0007801055908203125,0.0008230209350585938,0.0007839202880859375,0.0007901191711425781,0.0008041858673095703,0.0008080005645751953,0.0007679462432861328,0.0003540515899658203,0.00034999847412109375,0.0003509521484375,0.0003478527069091797,0.0003657341003417969,0.00034809112548828125,0.00037980079650878906,0.0003509521484375,0.0003509521484375,0.0003409385681152344
0.05,rbf,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,0.0008561611175537109,0.000885009765625,0.0009179115295410156,0.0009019374847412109,0.0008819103240966797,0.0008571147918701172,0.0008819103240966797,0.0008509159088134766,0.0008678436279296875,0.0008471012115478516,0.0003859996795654297,0.0004029273986816406,0.0004069805145263672,0.0003871917724609375,0.0003991127014160156,0.0003769397735595703,0.00038504600524902344,0.00036978721618652344,0.00037598609924316406,0.0003609657287597656
0.05,sigmoid,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,0.0008809566497802734,0.0008759498596191406,0.0008618831634521484,0.0008609294891357422,0.0008800029754638672,0.0008897781372070312,0.0009191036224365234,0.0008959770202636719,0.0008649826049804688,0.000885009765625,0.0003561973571777344,0.0003490447998046875,0.000347137451171875,0.000347137451171875,0.00035309791564941406,0.0003561973571777344,0.0003540515899658203,0.00036716461181640625,0.0003731250762939453,0.0003540515899658203
0.5,linear,0.8148148148148148,0.8888888888888888,0.96,0.8333333333333334,1.0,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.9565217391304348,0.0008492469787597656,0.0008342266082763672,0.0008409023284912109,0.0007598400115966797,0.0007998943328857422,0.0007841587066650391,0.0007638931274414062,0.0007889270782470703,0.0008089542388916016,0.0008080005645751953,0.0003647804260253906,0.00037598609924316406,0.0003781318664550781,0.0003399848937988281,0.00034999847412109375,0.0003657341003417969,0.0003540515899658203,0.0003478527069091797,0.00035691261291503906,0.0003590583801269531
0.5,poly,0.8275862068965517,0.9655172413793104,1.0,1.0,1.0,1.0,0.9565217391304348,0.96,0.9565217391304348,1.0,0.0009331703186035156,0.0008780956268310547,0.0008261203765869141,0.0008671283721923828,0.0008730888366699219,0.0008411407470703125,0.0008687973022460938,0.000865936279296875,0.0008749961853027344,0.0008420944213867188,0.00037789344787597656,0.0003669261932373047,0.0003578662872314453,0.00034689903259277344,0.0003600120544433594,0.00037407875061035156,0.0003650188446044922,0.0003631114959716797,0.0003631114959716797,0.00034809112548828125
0.5,rbf,0.7857142857142857,0.9333333333333333,0.9629629629629629,0.88,0.9285714285714286,1.0,0.9090909090909091,0.9230769230769231,0.9565217391304348,1.0,0.0008819103240966797,0.0009138584136962891,0.0009148120880126953,0.0009098052978515625,0.0010509490966796875,0.0009789466857910156,0.0009911060333251953,0.0009348392486572266,0.0008950233459472656,0.0015749931335449219,0.00039196014404296875,0.00040411949157714844,0.00040602684020996094,0.00039505958557128906,0.00043320655822753906,0.0005669593811035156,0.00041484832763671875,0.0003771781921386719,0.0003941059112548828,0.0003981590270996094
0.5,sigmoid,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,0.0009019374847412109,0.0008530616760253906,0.0008699893951416016,0.0008778572082519531,0.0008509159088134766,0.0008578300476074219,0.0008933544158935547,0.0008971691131591797,0.0008928775787353516,0.0008828639984130859,0.0003628730773925781,0.00035190582275390625,0.00035190582275390625,0.00036597251892089844,0.00034499168395996094,0.0003631114959716797,0.0003597736358642578,0.00035691261291503906,0.0003540515899658203,0.00035500526428222656
5.0,linear,0.8571428571428571,0.8333333333333334,0.96,0.9,0.96,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.9565217391304348,0.0008828639984130859,0.0008981227874755859,0.0009980201721191406,0.0009398460388183594,0.0008809566497802734,0.000888824462890625,0.0008723735809326172,0.0009071826934814453,0.0009100437164306641,0.0008928775787353516,0.0003490447998046875,0.00034618377685546875,0.0003528594970703125,0.00034499168395996094,0.00036406517028808594,0.0003380775451660156,0.00033283233642578125,0.00033974647521972656,0.00033402442932128906,0.00032901763916015625
5.0,poly,0.8571428571428571,1.0,0.9166666666666666,1.0,0.96,1.0,1.0,1.0,0.9523809523809523,1.0,0.0008678436279296875,0.0009238719940185547,0.000843048095703125,0.0008602142333984375,0.0008928775787353516,0.0008728504180908203,0.0008699893951416016,0.0008671283721923828,0.0008740425109863281,0.0008358955383300781,0.00034809112548828125,0.00033926963806152344,0.0003337860107421875,0.00033092498779296875,0.0003390312194824219,0.00033402442932128906,0.00033402442932128906,0.00033211708068847656,0.00032711029052734375,0.00032830238342285156
5.0,rbf,0.8275862068965517,0.9655172413793104,1.0,1.0,0.96,1.0,0.9565217391304348,1.0,1.0,1.0,0.0008821487426757812,0.0008881092071533203,0.0008578300476074219,0.0008938312530517578,0.0009169578552246094,0.0008711814880371094,0.0008599758148193359,0.0009021759033203125,0.0008959770202636719,0.000843048095703125,0.0003840923309326172,0.00037384033203125,0.0003600120544433594,0.0003600120544433594,0.00036907196044921875,0.0003788471221923828,0.0003559589385986328,0.00036787986755371094,0.0003600120544433594,0.0003590583801269531
5.0,sigmoid,0.896551724137931,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8,0.9565217391304348,0.8461538461538461,0.0008649826049804688,0.0008649826049804688,0.0008821487426757812,0.0008499622344970703,0.0008730888366699219,0.0008628368377685547,0.0009129047393798828,0.0009241104125976562,0.0008311271667480469,0.000843048095703125,0.00034809112548828125,0.0003409385681152344,0.0003399848937988281,0.0003390312194824219,0.0003771781921386719,0.000347137451171875,0.00035500526428222656,0.0003409385681152344,0.0003371238708496094,0.0003559589385986328
50.0,linear,0.8571428571428571,0.782608695652174,0.8695652173913043,0.9,0.9166666666666666,0.96,0.9090909090909091,0.8333333333333334,0.8,1.0,0.0020020008087158203,0.002681255340576172,0.0015230178833007812,0.0031239986419677734,0.0027179718017578125,0.0015387535095214844,0.002156972885131836,0.0021986961364746094,0.0017206668853759766,0.002752065658569336,0.0003650188446044922,0.0003566741943359375,0.0003559589385986328,0.000347137451171875,0.0003540515899658203,0.000347137451171875,0.00035881996154785156,0.0003771781921386719,0.0003571510314941406,0.0003399848937988281
50.0,poly,0.8571428571428571,1.0,0.9166666666666666,1.0,0.96,1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,0.0008628368377685547,0.0008339881896972656,0.0008561611175537109,0.0008602142333984375,0.0009090900421142578,0.0009129047393798828,0.0008540153503417969,0.0008869171142578125,0.0009088516235351562,0.0008351802825927734,0.0003421306610107422,0.0003330707550048828,0.0003478527069091797,0.0003509521484375,0.000335693359375,0.0003371238708496094,0.00033593177795410156,0.00034809112548828125,0.00034499168395996094,0.0003349781036376953
50.0,rbf,0.8571428571428571,1.0,1.0,1.0,0.8695652173913043,1.0,1.0,1.0,1.0,1.0,0.0008540153503417969,0.0009169578552246094,0.0008649826049804688,0.0008933544158935547,0.000885009765625,0.0008687973022460938,0.0008790493011474609,0.0009257793426513672,0.0009140968322753906,0.000843048095703125,0.0003819465637207031,0.00038504600524902344,0.00037217140197753906,0.00035881996154785156,0.0003719329833984375,0.0003871917724609375,0.000370025634765625,0.0003750324249267578,0.0003600120544433594,0.0003509521484375
50.0,sigmoid,0.8571428571428571,0.9230769230769231,0.88,0.9090909090909091,0.7619047619047619,0.88,0.8461538461538461,0.8461538461538461,0.9090909090909091,0.8461538461538461,0.0009548664093017578,0.0008118152618408203,0.0007760524749755859,0.0008981227874755859,0.0007758140563964844,0.0007162094116210938,0.0008399486541748047,0.0008628368377685547,0.0007460117340087891,0.0010230541229248047,0.0003609657287597656,0.000347137451171875,0.0003440380096435547,0.00034999847412109375,0.0003802776336669922,0.0003299713134765625,0.0003352165222167969,0.0003490447998046875,0.0003418922424316406,0.0003600120544433594
