k,distance_func,voting_func,weighting_func,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.9957446808510638,0.9955555555555555,0.9918032786885246,0.9978858350951374,0.996,0.9979879275653923,1.0,0.9897330595482546,0.9960629921259843,0.9939393939393939
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.6413043478260869,0.6225895316804407,0.6595174262734584,0.6431478968792401,0.6684420772303595,0.664886515353805,0.6320109439124487,0.6559139784946236,0.6754966887417219,0.664886515353805
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.5925925925925926,0.6020408163265306,0.6047619047619047,0.5692695214105793,0.6275395033860045,0.6528735632183909,0.605,0.5953488372093023,0.6451612903225806,0.6157407407407407
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9957446808510638,0.9955555555555555,0.9918032786885246,0.9978858350951374,0.996,0.9979879275653923,1.0,0.9897330595482546,0.9960629921259843,0.9939393939393939
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.6413043478260869,0.6225895316804407,0.6595174262734584,0.6431478968792401,0.6684420772303595,0.664886515353805,0.6320109439124487,0.6559139784946236,0.6754966887417219,0.664886515353805
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5925925925925926,0.6020408163265306,0.6047619047619047,0.5692695214105793,0.6275395033860045,0.6528735632183909,0.605,0.5953488372093023,0.6451612903225806,0.6157407407407407
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9957446808510638,0.9955555555555555,0.9918032786885246,0.9978858350951374,0.996,0.9979879275653923,1.0,0.9897330595482546,0.9960629921259843,0.9939393939393939
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.6413043478260869,0.6225895316804407,0.6595174262734584,0.6431478968792401,0.6684420772303595,0.664886515353805,0.6320109439124487,0.6559139784946236,0.6754966887417219,0.664886515353805
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.5925925925925926,0.6020408163265306,0.6047619047619047,0.5692695214105793,0.6275395033860045,0.6528735632183909,0.605,0.5953488372093023,0.6451612903225806,0.6157407407407407
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.9698275862068966,0.9641255605381166,0.9648033126293996,0.9744680851063829,0.9641434262948207,0.9714285714285714,1.0,0.9650924024640657,0.9781312127236581,0.9634146341463414
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.6413043478260869,0.6225895316804407,0.6595174262734584,0.6431478968792401,0.6684420772303595,0.664886515353805,0.6320109439124487,0.6559139784946236,0.6754966887417219,0.664886515353805
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.6351931330472103,0.5789473684210527,0.6363636363636364,0.5867237687366167,0.6290322580645161,0.6641074856046065,0.5991379310344828,0.6326129666011788,0.6555323590814196,0.6101010101010101
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9698275862068966,0.9641255605381166,0.9648033126293996,0.9744680851063829,0.9641434262948207,0.9714285714285714,1.0,0.9650924024640657,0.9781312127236581,0.9634146341463414
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.6413043478260869,0.6225895316804407,0.6595174262734584,0.6431478968792401,0.6684420772303595,0.664886515353805,0.6320109439124487,0.6559139784946236,0.6754966887417219,0.664886515353805
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6351931330472103,0.5789473684210527,0.6363636363636364,0.5867237687366167,0.6290322580645161,0.6641074856046065,0.5991379310344828,0.6326129666011788,0.6555323590814196,0.6101010101010101
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9698275862068966,0.9641255605381166,0.9648033126293996,0.9744680851063829,0.9641434262948207,0.9714285714285714,1.0,0.9650924024640657,0.9781312127236581,0.9634146341463414
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.6413043478260869,0.6225895316804407,0.6595174262734584,0.6431478968792401,0.6684420772303595,0.664886515353805,0.6320109439124487,0.6559139784946236,0.6754966887417219,0.664886515353805
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.6351931330472103,0.5789473684210527,0.6363636363636364,0.5867237687366167,0.6290322580645161,0.6641074856046065,0.5991379310344828,0.6326129666011788,0.6555323590814196,0.6101010101010101
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.8945147679324894,0.9006622516556292,0.9171717171717172,0.9029535864978903,0.8835341365461847,0.9053497942386831,1.0,0.9008620689655172,0.9178356713426854,0.8975409836065574
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.6986754966887417,0.718978102189781,0.7598684210526315,0.718381112984823,0.7421383647798742,0.760797342192691,0.7461669505962522,0.671251719394773,0.78,0.7725752508361204
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.6392857142857142,0.5836575875486382,0.6039076376554174,0.6189624329159212,0.5708955223880597,0.5882352941176471,0.5482041587901701,0.6003159557661928,0.6358792184724689,0.593128390596745
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.8945147679324894,0.9006622516556292,0.9171717171717172,0.9029535864978903,0.8835341365461847,0.9053497942386831,1.0,0.9008620689655172,0.9178356713426854,0.8975409836065574
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.6986754966887417,0.718978102189781,0.7598684210526315,0.718381112984823,0.7421383647798742,0.760797342192691,0.7461669505962522,0.671251719394773,0.78,0.7725752508361204
