C,kernel_type,reduction_func,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9,storage_0,storage_1,storage_2,storage_3,storage_4,storage_5,storage_6,storage_7,storage_8,storage_9
1,linear,control,0.8571428571428571,0.8888888888888888,0.96,0.8695652173913043,1.0,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.9565217391304348,0.0019981861114501953,0.0009169578552246094,0.0009038448333740234,0.0008311271667480469,0.0008070468902587891,0.0007848739624023438,0.0007762908935546875,0.001219034194946289,0.0010950565338134766,0.0008628368377685547,0.000331878662109375,0.00046896934509277344,0.00030112266540527344,0.0002849102020263672,0.00028896331787109375,0.0002949237823486328,0.00028395652770996094,0.00036835670471191406,0.0003948211669921875,0.0002970695495605469,138,140,140,139,139,140,141,139,138,141
1,linear,GGCN,0.7857142857142857,0.8888888888888888,0.9166666666666666,0.8695652173913043,1.0,0.9629629629629629,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.96,0.0008451938629150391,0.0009279251098632812,0.0007901191711425781,0.0007998943328857422,0.0009009838104248047,0.0007510185241699219,0.0010828971862792969,0.0007879734039306641,0.0009920597076416016,0.0007917881011962891,0.0002968311309814453,0.0003440380096435547,0.00029587745666503906,0.0003151893615722656,0.0003218650817871094,0.0003020763397216797,0.0003230571746826172,0.00030303001403808594,0.00032711029052734375,0.00029397010803222656,119,101,103,106,107,90,100,106,98,102
1,linear,ENNTH,0.8571428571428571,0.8888888888888888,0.96,0.8695652173913043,1.0,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.9565217391304348,0.0009181499481201172,0.0008528232574462891,0.0007927417755126953,0.0007989406585693359,0.0007867813110351562,0.0007600784301757812,0.0010991096496582031,0.0009522438049316406,0.0008389949798583984,0.0007588863372802734,0.0003848075866699219,0.0002989768981933594,0.0002841949462890625,0.00028014183044433594,0.0002808570861816406,0.0002827644348144531,0.0003180503845214844,0.0003139972686767578,0.00028586387634277344,0.0002789497375488281,138,140,140,139,139,140,141,139,138,141
1,linear,Drop3,0.8888888888888888,0.9655172413793104,0.96,0.8333333333333334,1.0,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,1.0,0.0008378028869628906,0.000675201416015625,0.0006649494171142578,0.0006678104400634766,0.000659942626953125,0.0006461143493652344,0.0009961128234863281,0.0007388591766357422,0.0007371902465820312,0.0006709098815917969,0.00028705596923828125,0.0002777576446533203,0.0002732276916503906,0.00028014183044433594,0.0002770423889160156,0.00027489662170410156,0.0003077983856201172,0.0003178119659423828,0.0002758502960205078,0.0002968311309814453,111,109,115,107,108,113,115,107,110,114
